"","sample_city_name","sample_site_name","sample_site_code","ons_site_name","grid_reference_east","grid_reference_north","grab_compo_ind"
"82","Bristol","BRISTOL STW","UKENSW_WXW_TP000004","BRISTOL   STW",353294,179291,"Composite"
"83","","AYLESBURY, RABANS LANE, AYLESBU STW""","UKENTH_TWU_TP000010","AYLESBURY, RABANS LANE, AYLESBU STW""",478989,214851,"Grab"
"84","Greater Manchester","Eccles","UU-EST","",NA,NA,"Composite"
"85","Newcastle","Newcastle - Wallsend","NW-WLD","",428775,567185,"Grab"
"86","","DARLINGTON   STW","UKENNE_NU_TP000051","",428919,511531,"Composite"
"87","Greater Manchester","Salford low-level","UU-STT","",NA,NA,"Composite"
"88","Birmingham","BIRMINGHAM & BLACK COUNTRY NO. 1 (MINWORTH) STW","UKENMI_ST_TP000156","BIRMINGHAM & BLACK COUNTRY NO. 1 (MINWORTH) STW",416499,292356,"Grab"
"89","Exeter","Exeter Rowe House Accommodation","SWS-RHA","",NA,NA,"Composite"
"90","","WORKSOP STW","UKENMI_ST_TP000242","",461019,378861,"Grab"
"91","Nottingham","West Bridgford","ST-WBR","",NA,NA,"Grab"
"92","","BRADFORD ESHOLT STW","UKENNE_YW_TP000082","BRADFORD ESHOLT STW",418979,438751,"Composite"
"93","","NEWTON ABBOT / TEIGNMOUTH   STW","UKENSW_SWS_TP000051","",288249,72051,"Composite"
"94","","READING STW","UKENTH_TWU_TP000122","",471099,170701,"Grab"
"95","","ALTON, ALTON, HAMPSHIRE STW""","UKENTH_TWU_TP000004","",472899,139801,"Grab"
"96","Leeds","LEEDS (KNOSTROP) STW","UKENNE_YW_TP000098","LEEDS (KNOSTROP) STW",434649,430711,"Grab"
"97","Greater London","Batchworth","TW-BWT","",NA,NA,"Grab"
"98","","CHATHAM AND GILLINGHAM STW","UKENSO_SW_TP000025","CHATHAM AND GILLINGHAM   STW",582959,168491,"Grab"
"100","","WITNEY STW","UKENTH_TWU_TP000154","",434749,208541,"Grab"
"101","","SITTINGBOURNE STW","UKENSO_SW_TP000032","",591077,164857,"Composite"
"102","","NEWHAVEN, LEWES   STW""","UKENSO_SW_TP000082","",545196,100750,"Grab"
"103","Greater Manchester","BOLTON STW","UKENNW_UU_TP000019","BOLTON STW",376549,404691,"Composite"
"105","Birmingham","Watson Road","ST-BWA","",410101,289417,"Grab"
"106","","SHAFTESBURY STW","UKENSW_WXW_TP000075","",386179,121431,"Composite"
"107","Greater London","Christopher Jones Garden","TW-CJG","",NA,NA,"Grab"
"109","","BRIDPORT STW","UKENSW_WXW_TP000012","",347099,90701,"Composite"
"111","","CHESTERFIELD   STW","UKENNE_YW_TP000112","",439229,374651,"Grab"
"112","","BLACKBURN STW","UKENNW_UU_TP000018","",360469,429411,"Grab"
"113","Birmingham","Friar Park Road","ST-BFR","",401572,295105,"Grab"
"115","","STALHAM STW","UKENAN_AW_TP000247","",635866,325256,"Grab"
"116","Luton","Park Street SW1","TW-PKS","",NA,NA,"Grab"
"117","","ST AUSTELL MENAGWINS STW","UKENSW_SWS_TP000067","",201192,50857,"Grab"
"118","Nottingham","Nottingham City A","ST-NCA","",NA,NA,"Grab"
"119","Liverpool","LIVERPOOL (SANDON [NORTH LIVERPOOL DOCKS] ) STW","UKENNW_UU_TP000110","Hoylake (NORTH WIRRAL [MEOLS] )",333486,392845,"Composite"
"120","Greater London","Dews Farm","TW-DEW","",NA,NA,"Grab"
"121","","WORTHING   STW","UKENSO_SW_TP000083","",517007,103642,"Grab"
"122","Luton","Selbourne Rd","TW-SLB","",NA,NA,"Grab"
"123","","HARTLEPOOL   STW","UKENNE_NU_TP000046","",451989,527651,"Composite"
"124","","PLYMPTON   STW","UKENSW_SWS_TP000059","",252334,56403,"Composite"
"125","Exeter","Exeter Hospital Accommodation","SWS-HAC","",NA,NA,"Composite"
"126","","BURY ST. EDMUNDS   STW","UKENAN_AW_TP000047","",584305,267802,"Grab"
"129","","BARTON-UPON-HUMBER STW","UKENAN_AW_TP000012","",503493,423395,"Grab"
"130","","LEIGH STW","UKENNW_UU_TP000078","LEIGH STW",365809,399001,"Grab"
"131","","PONTEFRACT AND FERRYBRIDGE   STW","UKENNE_YW_TP000131","",450119,425501,"Grab"
"132","Bristol","Highridge, Bishopsworth, Withywood","WW-HBW","",NA,NA,"Grab"
"133","Bristol","Fishponds, Hillfields","WW-FPD","",NA,NA,"Grab"
"134","Greater Manchester","Oldham Chadderton","UU-OCH","",NA,NA,"Grab"
"135","","HUDDERSFIELD STW","UKENNE_YW_TP000094","",418099,420701,"Composite"
"136","Sheffield","Blackburn","YW-BBV","",439423,391638,"Grab"
"138","Newcastle","Newcastle -Jesmond","NW-JES","",425675,567890,"Grab"
"140","Bristol","Wills, Oldland, LW Green, Warmley","WW-WOL","",NA,NA,"Grab"
"141","","TAUNTON STW","UKENSW_WXW_TP000086","",328049,124551,"Composite"
"142","","TIVERTON STW","UKENSW_SWS_TP000074","",295499,110501,"Grab"
"143","","MAPLE LODGE, BUCKS STW""","UKENTH_TWU_TP000106","",504199,191941,"Grab"
"145","","GREAT YARMOUTH (CAISTER) STW","UKENAN_AW_TP000115","",651859,311135,"Grab"
"148","","FAREHAM AND GOSPORT, HAMBLE, HEDGE END (PEEL COMMON) STW""","UKENSO_SW_TP000008","",456846,103242,"Grab"
"149","Greater Manchester","Oldham Hollins Green","UU-OHG","",NA,NA,"Grab"
"150","","SPERNAL   STW","UKENMI_ST_TP000199","",408459,262631,"Unspecified"
"151","Greater London","Camden Street","TW-CMS","",NA,NA,"Grab"
"152","","IPSWICH   STW","UKENAN_AW_TP000144","",617466,241968,"Grab"
"153","Greater London","Barking Choats Rd","TW-CHR","",NA,NA,"Grab"
"155","","NEEDHAM MARKET STW","UKENAN_AW_TP000191","",609463,254882,"Grab"
"156","Greater Manchester","Salford high-level","UU-STO","",NA,NA,"Composite"
"157","Birmingham","Curdworth PS","ST-BCU","",417723,291913,"Grab"
"158","","WESTON SUPER MARE STW","UKENSW_WXW_TP000100","",331469,156981,"Composite"
"159","Greater London","Cygnet Avenue","TW-CGA","",NA,NA,"Grab"
"160","Greater Manchester","Racecourse Hotel","UU-RCH","",NA,NA,"Grab"
"162","Greater Manchester","Wigan Shevington North","UU-WCG","",NA,NA,"Grab"
"163","Leeds","Halton Moor","YW-HAL","",434062,433446,"Grab"
"164","Sheffield","Burngreave","YW-SBG","",436964,388853,"Grab"
"168","","EXMOUTH STW","UKENSW_SWS_TP000024","",302457,80397,"Composite"
"169","","WOLVERHAMPTON (BARNHURST) STW","UKENMI_ST_TP000018","",389999,301651,"Grab"
"170","Greater Manchester","Salford Media City","UU-BPS","",NA,NA,"Composite"
"172","","PAR STW","UKENSW_SWS_TP000055","",206629,52671,"Grab"
"173","","CARLISLE STW","UKENNW_UU_TP000027","",338811,556534,"Grab"
"174","Greater London","LONDON (Crossness STW)","UKENTH_TWU_TP000052","LONDON (Crossness STW)",549086,180831,"Composite"
"176","Nottingham","Daybrook","ST-DNC","",NA,NA,"Grab"
"180","","WORCESTER STW","UKENMI_ST_TP000241","",384619,253411,"Grab"
"181","Sheffield","Meersbrook Bank, Norton Lees, Norton Woodseat","YW-NSE","",434804,384714,"Grab"
"183","Liverpool","Bank Hall Relief","UU-BHR","",NA,NA,"Grab"
"184","","CHELTENHAM STW","UKENMI_ST_TP000256","",389929,224861,"Grab"
"185","","BEVERLEY STW","UKENNE_YW_TP000056","",505199,439176,"Composite"
"189","Greater London","Enfield Menon Drive","TW-MEN","",NA,NA,"Grab"
"190","Greater London","Walthamstow Low Hall","TW-LOW","",NA,NA,"Grab"
"192","","DAVENTRY   STW","UKENAN_AW_TP000286","",461877,264787,"Grab"
"194","","LITTLE MARLOW STW","UKENTH_TWU_TP000100","LUTON STW",487709,186961,"Grab"
"195","Bristol","Downend","WW-DND","",NA,NA,"Grab"
