"","sample_city_name","sample_site_name","sample_site_code","ons_site_name","grid_reference_east","grid_reference_north","grab_compo_ind"
"513","Nottingham","NOTTINGHAM STW","UKENMI_ST_TP000163","STOKE BARDOLPH (Nottingham)",464729,342221,"Grab"
"518","","MANSFIELD STW","UKENMI_ST_TP000143","",454829,362421,"Grab"
"519","","LANCASTER (STODDAY) STW","UKENNW_UU_TP000076","LANCASTER (STODDAY) STW",345699,458711,"Composite"
"521","","RUGBY NEWBOLD STW","UKENMI_ST_TP000182","",449419,276351,"Grab"
"526","Greater London","Arnold Road","TW-ARN","",NA,NA,"Grab"
"529","","DEREHAM STW","UKENAN_AW_TP000077","",597632,313606,"Grab"
"532","","CHALTON STW","UKENAN_AW_TP000051","",502806,226864,"Grab"
"533","Greater London","Rayners Lane, Harrow Branch Sewer","TW-RLH","",NA,NA,"Grab"
"538","Greater Manchester","Stockport Centre","UU-SKC","",NA,NA,"Grab"
"543","Greater Manchester","Wigan Shevington South","UU-WCF","",NA,NA,"Grab"
"545","","Fleetwood and Blackpool (Fleetwood Marsh) STW","UKENNW_UU_TP000050","",333099,446501,"Grab"
"546","","KINGS LYNN STW","UKENAN_AW_TP000154","",560275,322372,"Grab"
"547","","BLANDFORD FORUM   STW","UKENSW_WXW_TP000085","",391729,102961,"Composite"
"548","Liverpool","Bank Kirkdale","UU-BKI","",NA,NA,"Grab"
"550","","LINCOLN STW","UKENAN_AW_TP000161","LINCOLN (Canwick works)",499884,370410,"Unspecified"
"551","","NEWBURY STW","UKENTH_TWU_TP000116","",449859,166721,"Grab"
"557","","PRESTON (CLIFTON MARSH) STW","UKENNW_UU_TP000102","",345709,427931,"Grab"
"559","","RADLETT   STW","UKENTH_TWU_TP000021","",513709,201061,"Unspecified"
"560","Bristol","Hartcliffe","WW-HAR","",358183,169027,"Grab"
"561","Greater London","Richford Street","TW-RIC","",NA,NA,"Grab"
"562","Birmingham","Viaduct Street","ST-BVS","",408579,287295,"Grab"
"563","","LISKEARD   STW","UKENSW_SWS_TP000045","",224102,63078,"Composite"
"569","Greater London","Earl Sewer","TW-ELS","",NA,NA,"Grab"
"573","Liverpool","Liverpool Northern","UU-LNO","",NA,NA,"Grab"
"574","Liverpool","Rimrose","UU-RRO","",NA,NA,"Grab"
"579","","HUNTINGDON STW","UKENAN_AW_TP000139","",526112,271009,"Grab"
"581","Nottingham","Clifton","ST-CNR","",NA,NA,"Grab"
"582","","INGOLDMELLS STW","UKENAN_AW_TP000143","",555731,367766,"Grab"
"583","Greater London","Walthamstow Black Path","TW-BPH","",NA,NA,"Grab"
"592","Greater London","Redbridge Roding Valley","TW-ROV","",NA,NA,"Grab"
"596","","SWINDON, RODBOURNE, SWINDON, WI STW""","UKENTH_TWU_TP000139","",412709,185801,"Grab"
"597","","BOSTON STW","UKENAN_AW_TP000023","",535699,340996,"Grab"
"599","","WALSALL SOUTH   STW","UKENMI_ST_TP000100","",402189,301921,"Grab"
"606","Bristol","St George","WW-STG","",361749,173663,"Grab"
"609","Sheffield","Swallownest, Aughton","YW-NFO","",445121,384917,"Grab"
"614","","SLOUGH, WOOD STW""","UKENTH_TWU_TP000133","",494299,179201,"Grab"
"618","Cornwall G7","Hayle East Quay","SWS-HYL","",NA,NA,"Grab"
"622","","NEWMARKET STW","UKENAN_AW_TP000194","",563383,267160,"Grab"
"623","","BURTON ON TRENT   STW","UKENMI_ST_TP000056","",426849,325511,"Grab"
"626","","YORK (NABURN) STW","UKENNE_YW_TP000029","",460089,447151,"Grab"
"629","","ERNESETTLE AND SALTASH   STW","UKENSW_SWS_TP000022","",244599,60101,"Composite"
"631","Leeds","Little London, Sheepscar, Woodhouse Carr","YW-LLP","",430889,434428,"Unspecified"
"633","","STROUD STW","UKENMI_ST_TP000208","",378889,204891,"Grab"
"636","","SOHAM STW","UKENAN_AW_TP000237","",558102,274464,"Grab"
"638","Leeds","Beeston Hill","YW-BHL","",430119,431880,"Grab"
"639","Greater London","Enfield Aspen Way","TW-ASP","",NA,NA,"Grab"
"640","","SHEFFIELD (WOODHOUSE MILL) STW","UKENNE_YW_TP000141","",443369,385781,"Grab"
"644","","THETFORD STW","UKENAN_AW_TP000261","",585582,283663,"Grab"
"646","Bristol","Hengrove and Knowle","WW-HEN","",361179,170225,"Grab"
"650","Bristol","Broomhill, Part UWE","WW-BFU","",NA,NA,"Grab"
"651","","OSWESTRY (Mile Oak) STW","UKENMI_ST_TP000167","",330219,327121,"Grab"
"663","Greater London","Old Bromley Road","TW-OBR","",NA,NA,"Grab"
"665","","NORTHWICH STW","UKENNW_UU_TP000097","",363739,374161,"Composite"
"667","Greater Manchester","Stockport South","UU-SKS","",NA,NA,"Grab"
"668","","GUILDFORD, GUILDFORD, SURREY STW""","UKENTH_TWU_TP000073","",500299,151601,"Grab"
"671","Leeds","Morley","YW-MOR","",428222,429580,"Grab"
"678","Greater London","All- Day","RAD-ALD","",NA,NA,"Composite"
"683","","DEWSBURY AND BATLEY STW","UKENNE_YW_TP000107","DEWSBURY AND BATLEY   STW",426089,419971,"Grab"
"685","","BOURNE STW","UKENAN_AW_TP000026","",510918,319985,"Unspecified"
"697","Greater London","Barking Gascoigne Rd","TW-GCR","",NA,NA,"Grab"
"699","","SHEPTON MALLET STW","UKENSW_WXW_TP000077","",360049,143971,"Composite"
"700","","YEOVIL STW","UKENSW_WXW_TP000111","",357229,116211,"Composite"
"701","Sheffield","Fulwood, Ranmoor, Stumperlowe","YW-FRS","",432097,385868,"Grab"
"711","","NORWICH STW","UKENAN_AW_TP000200","WHITTLINGHAM (Norwich)",627841,307418,"Composite"
"715","Southampton","Southampton Portswood","SW-SPW","",NA,NA,"Grab"
"717","","LOUTH STW","UKENAN_AW_TP000169","",535811,390139,"Grab"
"719","","CONGLETON STW","UKENNW_UU_TP000037","",385381,363483,"Composite"
"720","","LEICESTER STW","UKENMI_ST_TP000222","LEICESTER   STW",459849,311851,"Grab"
"725","","RAMSGATE, SANDWICH, DEAL   STW""","UKENSO_SW_TP000022","",633188,162889,"Composite"
"732","Leeds","Potternewton, Chapel Allerton","YW-POT","",431310,435931,"Grab"
"738","Greater London","Canberra Drive","TW-CBD","",NA,NA,"Grab"
"741","","LYDNEY STW","UKENMI_ST_TP000141","",363649,200551,"Grab"
"747","Greater London","Fraser Road SPS","TW-FRA","",NA,NA,"Grab"
"748","Exeter","Exeter Birk's Grange Accommodation","SWS-BGA","",NA,NA,"Composite"
"750","Birmingham","Cannon Hill","ST-BCA","",406276,283417,"Grab"
"751","Sheffield","Central Sheffield","YW-WIN","",439511,391538,"Grab"
"774","","MALVERN   STW","UKENMI_ST_TP000017","",379689,244931,"Grab"
"779","","WELLS-NEXT-THE-SEA STW","UKENAN_AW_TP000280","",591181,344005,"Grab"
"783","Sheffield","Endcliffe, Tapton, Crosspool","YW-NEI","",433259,385878,"Grab"
"784","","KIDDERMINSTER STW","UKENMI_ST_TP000120","",382559,273751,"Grab"
"794","Birmingham","Pershore Road","ST-BPE","",406114,283566,"Unspecified"
"800","","BILLINGHAM STW","UKENNE_NU_TP000009","",447939,525731,"Composite"
"801","","WHALEY BRIDGE STW","UKENNW_UU_TP000129","",401249,383221,"Grab"
"805","Greater London","Victoria Embank1","TW-VEG","",NA,NA,"Grab"
"812","","BURGESS HILL   STW","UKENSO_SW_TP000081","",528801,120569,"Composite"
"815","","BURSLEDON STW","UKENSO_SW_TP000128","",448199,108701,"Grab"
"829","","TROWBRIDGE STW","UKENSW_WXW_TP000092","TROWBRIDGE STW",384769,158051,"Composite"
"835","Leeds","Harehills North","YW-HAR","",432417,434849,"Grab"
"836","Birmingham","Langley Mill TPS","ST-BLA","",415286,296449,"Grab"
"838","Greater London","Lilliput","TW-LIL","",NA,NA,"Grab"
"841","","COLBURN STW","UKENNE_YW_TP000008","",424468,497925,"Grab"
"844","","CHELMSFORD   STW","UKENAN_AW_TP000055","",573806,206725,"Grab"
"855","","DERBY STW","UKENMI_ST_TP000074","DERBY STW",439359,334491,"Grab"
"857","","LITTLEHAMPTON AND BOGNOR   STW","UKENSO_SW_TP000090","",499695,103145,"Composite"
"862","Birmingham","Bescot Crescent Wolverhampton","ST-BBE","",400581,296680,"Grab"
"877","","PLYMOUTH CENTRAL STW","UKENSW_SWS_TP000058","PLYMOUTH CENTRAL",249776,54024,"Grab"
"884","","NORTHALLERTON AND ROMANBY STW","UKENNE_YW_TP000030","",435472,492774,"Grab"
"888","","BEDFORD STW","UKENAN_AW_TP000016","",508487,249332,"Grab"
"890","Bristol","Brentry, Trym, Southmead, Henbury","WW-BRE","",355440,176726,"Grab"
"899","Greater Manchester","Oldham Royton","UU-ORY","",NA,NA,"Grab"
"905","","GRANTHAM   STW","UKENAN_AW_TP000106","",490723,342661,"Grab"
"907","Liverpool","Sandon Dock Main Works","UU-MWO","",NA,NA,"Composite"
"909","","MARCH STW","UKENAN_AW_TP000176","",544149,299201,"Grab"
"910","","ELLESMERE PORT STW","UKENNW_UU_TP000047","",342338,374328,"Composite"
"922","","LOUGHBOROUGH STW","UKENMI_ST_TP000137","",453099,321301,"Grab"
"933","Birmingham","Hansons Bridge Road","ST-BHA","",414195,291892,"Grab"
"939","","LYMINGTON, PENNINGTON, NEW MILTON   STW""","UKENSO_SW_TP000002","",431073,93459,"Composite"
"952","Nottingham","Nottingham Northern","ST-NNB","",NA,NA,"Grab"
"955","Leeds","U Wortley, U Armley, N Wortley","YW-WAC","",428836,432911,"Grab"
"966","","CHARD STW","UKENSW_WXW_TP000018","",333909,111981,"Composite"
"974","","LUDLOW STW","UKENMI_ST_TP000139","",351699,273041,"Grab"
"991","Newcastle","Newcastle -Benwell","NW-BWL","",424085,563556,"Grab"
"994","","HYNDBURN STW","UKENNW_UU_TP000068","",375619,433371,"Composite"
"1018","","WEYMOUTH STW","UKENSW_WXW_TP000101","WEYMOUTH STW",366380,76721,"Composite"
"1019","","BISHOP AUCKLAND   STW","UKENNE_NU_TP000054","",420529,531581,"Grab"
"1022","","TELFORD   STW","UKENMI_ST_TP000184","",361299,313701,"Grab"
"1034","Leeds","Lawnswood, Hawksworth, LBA","YW-LWN","",426025,436511,"Grab"
"1043","","NEWTON   STW","UKENNE_NU_TP000003","",428369,523271,"Composite"
"1046","","WORKINGTON STW","UKENNW_UU_TP000139","",300479,531841,"Grab"
"1052","","TUNBRIDGE WELLS   South STW","UKENSO_SW_TP000021","",554505,138089,"Grab"
"1058","Greater London","Appold Street SPS","TW-APP","",NA,NA,"Grab"
"1065","","CREWE STW","UKENNW_UU_TP000038","CREWE STW",366639,357111,"Composite"
"1078","Teesside","Hartlepool Central","NW-HPC","",NA,NA,"Grab"
"1081","Greater London","Dalling Road","TW-DAL","",NA,NA,"Grab"
"1095","Greater London","Enfield Streamside Close","TW-STR","",NA,NA,"Grab"
"1124","Sheffield","Chapletown","YW-SCT","",435918,395673,"Grab"
"1126","","ANDOVER STW","UKENSO_SW_TP000006","",437251,141673,"Composite"
"1132","Sheffield","Part of Firth Park","YW-NTE","",436743,390576,"Grab"
"1133","","BRANCOTE STW","UKENMI_ST_TP000036","",395499,322271,"Grab"
"1134","","ROYSTON STW","UKENAN_AW_TP000222","",535529,242381,"Grab"
"1135","Greater London","All- Night","RAD-ALN","",NA,NA,"Composite"
"1143","","CHICHESTER STW","UKENSO_SW_TP000107","",484315,103918,"Grab"
"1148","Liverpool","Strand SSO","UU-STS","",NA,NA,"Grab"
"1153","","BURNLEY STW","UKENNW_UU_TP000024","",382849,435121,"Composite"
"1165","Luton","Luton Townhall","TW-LTH","",NA,NA,"Grab"
"1175","","SALISBURY STW","UKENSW_WXW_TP000074","",416039,129131,"Composite"
"1222","Leeds","Melville Road, Woodhouse, Leeds","YW-WHM","",NA,NA,"Grab"
"1239","","HELSTON STW","UKENSW_SWS_TP000033","",165503,26944,"Grab"
"1252","Leeds","Craven Road, Woodhouse, Leeds","YW-WHC","",NA,NA,"Grab"
"1264","","LANGLEY STW","UKENMI_ST_TP000128","",415599,296651,"Grab"
"1274","","BRAINTREE STW","UKENAN_AW_TP000029","",576577,222052,"Grab"
"1289","Nottingham","Bilborough Aspley B","ST-BNB","",NA,NA,"Grab"
"1290","","TILBURY STW, TILBURY, ESSEX""","UKENAN_AW_TP000308","",565353,175767,"Grab"
"1295","Leeds","New Blackpool, New Farnley, Moor Side","YW-NBL","",427156,431591,"Grab"
"1343","","CROMER   STW","UKENAN_AW_TP000071","",620648,341957,"Grab"
"1346","Birmingham","Minworth STW","ST-BMI","",416031,292284,"Grab"
"1353","","HAILSHAM SOUTH STW","UKENSO_SW_TP000096","",559739,108341,"Grab"
"1410","Liverpool","Fazakerley High","UU-FZH","",NA,NA,"Unspecified"
"1436","","WELLINGTON STW","UKENSW_WXW_TP000096","",312969,121821,"Composite"
"1451","Leeds","Gledhow, Moortown","YW-GMT","",431971,436262,"Grab"
"1452","Greater Manchester","Wigan Appley Bridge","UU-WCD","",NA,NA,"Grab"
"1476","Birmingham","Wood Lane","ST-BWO","",406159,291125,"Grab"
"1482","Birmingham","Kingsbury Road Solihull","ST-BKI","",413860,291444,"Grab"
"1486","","HEACHAM STW","UKENAN_AW_TP000128","",566869,336315,"Grab"
"1516","Sheffield","Firth Park Area","YW-FPA","",436033,391195,"Grab"
"1540","","MALTON STW","UKENNE_YW_TP000026","",477456,470471,"Grab"
"1547","Nottingham","Carlton DAS","ST-CDG","",NA,NA,"Grab"
"1551","Greater London","Brookmill Road","TW-BMR","",NA,NA,"Grab"
"1580","Greater London","Barking Mallards Rd","TW-MLR","",NA,NA,"Grab"
"1612","Liverpool","Mersey Road","UU-MRD","",NA,NA,"Grab"
"1615","","LOWESTOFT STW","UKENAN_AW_TP000170","",653429,297861,"Composite"
"1616","","BARNSLEY (LUNDWOOD) STW","UKENNE_YW_TP000102","",437799,407001,"Composite"
"1646","","BECCLES STW","UKENAN_AW_TP000015","",644890,290424,"Grab"
"1659","Greater London","Trumpers Way, Hanwell Sewer","TW-TWH","",NA,NA,"Grab"
"1686","","WITHAM STW","UKENAN_AW_TP000296","",582625,214013,"Grab"
"1694","Greater London","Entrance","RAD-ENT","",NA,NA,"Composite"
"1728","Greater London","Restaurant","RAD-RST","",NA,NA,"Composite"
"1733","","CLIFTON STW","UKENAN_AW_TP000060","",517700,240244,"Unspecified"
"1743","Sheffield","Jordanthorpe","YW-JOR","",NA,NA,"Grab"
"1749","","CHECKLEY STW","UKENMI_ST_TP000050","",403429,337391,"Grab"
"1778","Sheffield","Handsworth Top","YW-TTH","",439316,387663,"Grab"
"1840","Grantham","Moy Park Process 1(A)","AE-MSA","",NA,NA,"Composite"
"1871","Teesside","Hartlepool North","NW-HPN","",NA,NA,"Unspecified"
"1883","Liverpool","Bank Everton Pt","UU-BEV","",NA,NA,"Grab"
"1982","","DRIFFIELD STW","UKENNE_YW_TP000076","",502661,456898,"Composite"
"1987","Leeds","Ireland Wood, Iveson Wood","YW-IRE","",426055,438136,"Grab"
"2120","","NORTHAMPTON   STW","UKENAN_AW_TP000107","",481616,261993,"Grab"
"2136","","BURY STW","UKENNW_UU_TP000026","",380039,407811,"Composite"
"2151","Greater London","Waterside Close, Hendon Branch Sewer","TW-WCH","",NA,NA,"Grab"
"2156","Greater London","The Ride, South Ealing Sewer","TW-RSH","",NA,NA,"Grab"
"2183","Newcastle","Newcastle - Denton Valley","NW-DTV","",418366,567527,"Grab"
"2204","Leeds","Headingley, Hyde Park, Woodhouse","YW-HDY","",428160,434771,"Grab"
"2234","Sheffield","Stocksbridge","YW-SKB","",429044,397793,"Grab"
"2252","Leeds","Oatland Court, Little London, Leeds","YW-LLO","",NA,NA,"Grab"
"2295","Greater London","Gym","RAD-GYM","",NA,NA,"Composite"
"2327","Greater London","Tower Hamlet Selby St","TW-SYS","",NA,NA,"Grab"
"2356","","BODMIN (SCARLETTS WELL) STW","UKENSW_SWS_TP000005","",205541,67396,"Grab"
"2369","Sheffield","Banner Cross, Greystones, Ecclesall","YW-NON","",432875,385675,"Grab"
"2429","","HENDON STW","UKENNE_NU_TP000028","",441059,556121,"Composite"
"2546","Greater Manchester","Cottenham Lane","UU-COT","",NA,NA,"Grab"
"2592","Liverpool","Bank Stanley Road","UU-BST","",NA,NA,"Grab"
"2609","","EASTLEIGH   STW","UKENSO_SW_TP000013","",446839,117931,"Composite"
"2666","Leeds","Rodley, Bramley, Farsley","YW-RBF","",423023,436242,"Grab"
"2913","Teesside","Hartlepool Headland","NW-HPH","",NA,NA,"Grab"
"2916","","SKELMERSDALE STW","UKENNW_UU_TP000113","",347580,410890,"Composite"
"3156","","ROSSENDALE STW","UKENNW_UU_TP000104","",379569,420611,"Grab"
"3373","Leeds","Beeston Park Side","YW-BPS","",430557,430846,"Grab"
"3658","Liverpool","Fazakerley Low","UU-FZL","",NA,NA,"Grab"
"3837","Basingstoke","Sainsbury Logistic South","AE-BSK","",NA,NA,"Unspecified"
"3856","","EVESHAM STW","UKENMI_ST_TP000091","",403179,244671,"Grab"
"4045","Greater Manchester","Salford University","UU-SUN","",NA,NA,"Grab"
"4145","Leeds","Meanwood Street, Little London, Leeds","YW-LLM","",NA,NA,"Grab"
"4322","Liverpool","Bank Hale Road","UU-BHA","",NA,NA,"Grab"
"4414","Sheffield","Shirtcliffe Brook","YW-SSB","",443149,385704,"Grab"
"5872","","SCARBOROUGH STW","UKENNE_YW_TP000039","",502608,492250,"Grab"
"6583","","WALTON-LE-DALE STW","UKENNW_UU_TP000123","",354370,427570,"Composite"
"7369","Cornwall G7","Falmouth Floatel in Harbour","SWS-FLT","",NA,NA,"Grab"
"7835","Leeds","Colton, Whitkirk","YW-COL","",436564,432515,"Grab"
"7926","Worksop","Greencore","AE-GCR","",NA,NA,"Composite"
"9114","Grantham","Moy Park Process 1(B)","AE-MSB","",NA,NA,"Composite"
"9175","","CLITHEROE STW","UKENNW_UU_TP000034","",372619,440391,"Composite"
"10269","","CHORLEY STW","UKENNW_UU_TP000032","",356587,417686,"Composite"
"22251","Worksop","Greencore S2","AE-COR","",NA,NA,"Composite"
