sample_city_name,sample_site_name,sample_site_code,ons_site_name,grid_reference_east,grid_reference_north,grab_compo_ind
,WORKSOP STW,UKENMI_ST_TP000242,,461019,378861,Grab
Nottingham,West Bridgford,ST-WBR,,458300,338054,Grab
,BRADFORD ESHOLT STW,UKENNE_YW_TP000082,BRADFORD ESHOLT STW,418979,438751,Composite
,NEWTON ABBOT / TEIGNMOUTH   STW,UKENSW_SWS_TP000051,,288249,72051,Composite
,READING STW,UKENTH_TWU_TP000122,,471099,170701,Grab
,"ALTON, ALTON, HAMPSHIRE STW""",UKENTH_TWU_TP000004,,472899,139801,Grab
Leeds,LEEDS (KNOSTROP) STW,UKENNE_YW_TP000098,LEEDS (KNOSTROP) STW,434649,430711,Grab
Greater London,Batchworth,TW-BWT,,506197,193916,Grab
,CHATHAM AND GILLINGHAM STW,UKENSO_SW_TP000025,CHATHAM AND GILLINGHAM   STW,582959,168491,Grab
,WITNEY STW,UKENTH_TWU_TP000154,,434749,208541,Grab
,SITTINGBOURNE STW,UKENSO_SW_TP000032,,591077,164857,Composite
,"NEWHAVEN, LEWES   STW""",UKENSO_SW_TP000082,,545196,100750,Grab
Greater Manchester,BOLTON STW,UKENNW_UU_TP000019,BOLTON STW,376549,404691,Composite
Birmingham,Watson Road,ST-BWA,,410101,289417,Grab
,SHAFTESBURY STW,UKENSW_WXW_TP000075,,386179,121431,Composite
,BRIDPORT STW,UKENSW_WXW_TP000012,,347099,90701,Composite
,CHESTERFIELD   STW,UKENNE_YW_TP000112,,439229,374651,Grab
,BLACKBURN STW,UKENNW_UU_TP000018,,360469,429411,Grab
Birmingham,Friar Park Road,ST-BFR,,401572,295105,Grab
,STALHAM STW,UKENAN_AW_TP000247,,635866,325256,Grab
Luton,Park Street SW1,TW-PKS,,509794,220655,Grab
,ST AUSTELL MENAGWINS STW,UKENSW_SWS_TP000067,,201192,50857,Grab
Nottingham,Nottingham City A,ST-NCA,,457551,339222,Grab
Liverpool,LIVERPOOL (SANDON [NORTH LIVERPOOL DOCKS] ) STW,UKENNW_UU_TP000110,Hoylake (NORTH WIRRAL [MEOLS] ),333486,392845,Composite
Greater London,Dews Farm,TW-DEW,,505889,188339,Grab
,WORTHING   STW,UKENSO_SW_TP000083,,517007,103642,Grab
Luton,Selbourne Rd,TW-SLB,,507403,222799,Grab
,HARTLEPOOL   STW,UKENNE_NU_TP000046,,451989,527651,Composite
,PLYMPTON   STW,UKENSW_SWS_TP000059,,252334,56403,Composite
Exeter,Exeter Hospital Accommodation,SWS-HAC,,293730,91870,Composite
,BURY ST. EDMUNDS   STW,UKENAN_AW_TP000047,,584305,267802,Grab
,BARTON-UPON-HUMBER STW,UKENAN_AW_TP000012,,503493,423395,Grab
,LEIGH STW,UKENNW_UU_TP000078,LEIGH STW,365809,399001,Grab
,PONTEFRACT AND FERRYBRIDGE   STW,UKENNE_YW_TP000131,,450119,425501,Grab
Bristol,"Highridge, Bishopsworth, Withywood",WW-HBW,,356480,168419,Grab
Bristol,"Fishponds, Hillfields",WW-FPD,,363285,175153,Grab
Greater Manchester,Oldham Chadderton,UU-OCH,,390401,405945,Grab
,HUDDERSFIELD STW,UKENNE_YW_TP000094,,418099,420701,Composite
Sheffield,Blackburn,YW-BBV,,439423,391638,Grab
Newcastle,Newcastle -Jesmond,NW-JES,,425675,567890,Grab
Bristol,"Wills, Oldland, LW Green, Warmley",WW-WOL,,366809,171913,Grab
,TAUNTON STW,UKENSW_WXW_TP000086,,328049,124551,Composite
,TIVERTON STW,UKENSW_SWS_TP000074,,295499,110501,Grab
,"MAPLE LODGE, BUCKS STW""",UKENTH_TWU_TP000106,,504199,191941,Grab
,GREAT YARMOUTH (CAISTER) STW,UKENAN_AW_TP000115,,651859,311135,Grab
,"FAREHAM AND GOSPORT, HAMBLE, HEDGE END (PEEL COMMON) STW""",UKENSO_SW_TP000008,,456846,103242,Grab
Greater Manchester,Oldham Hollins Green,UU-OHG,,390714,402547,Grab
,SPERNAL   STW,UKENMI_ST_TP000199,,408459,262631,Unspecified
Greater London,Camden Street,TW-CMS,,528992,184254,Grab
,IPSWICH   STW,UKENAN_AW_TP000144,,617466,241968,Grab
Greater London,Barking Choats Rd,TW-CHR,,547202,183042,Grab
,NEEDHAM MARKET STW,UKENAN_AW_TP000191,,609463,254882,Grab
Greater Manchester,Salford high-level,UU-STO,,373858,402641,Composite
Birmingham,Curdworth PS,ST-BCU,,417723,291913,Grab
,WESTON SUPER MARE STW,UKENSW_WXW_TP000100,,331469,156981,Composite
Greater London,Cygnet Avenue,TW-CGA,,511636,173683,Grab
Greater Manchester,Racecourse Hotel,UU-RCH,,381673,400546,Grab
Greater Manchester,Wigan Shevington North,UU-WCG,,354929,408318,Grab
Leeds,Halton Moor,YW-HAL,,434062,433446,Grab
Sheffield,Burngreave,YW-SBG,,436964,388853,Grab
,EXMOUTH STW,UKENSW_SWS_TP000024,,302457,80397,Composite
,WOLVERHAMPTON (BARNHURST) STW,UKENMI_ST_TP000018,,389999,301651,Grab
Greater Manchester,Salford Media City,UU-BPS,,380185,397229,Composite
,PAR STW,UKENSW_SWS_TP000055,,206629,52671,Grab
,CARLISLE STW,UKENNW_UU_TP000027,,338811,556534,Grab
Greater London,LONDON (Crossness STW),UKENTH_TWU_TP000052,LONDON (Crossness STW),549086,180831,Composite
Nottingham,Daybrook,ST-DNC,,457796,344541,Grab
,WORCESTER STW,UKENMI_ST_TP000241,,384619,253411,Grab
Sheffield,"Meersbrook Bank, Norton Lees, Norton Woodseat",YW-NSE,,434804,384714,Grab
,CHELTENHAM STW,UKENMI_ST_TP000256,,389929,224861,Grab
,BEVERLEY STW,UKENNE_YW_TP000056,,505199,439176,Composite
Greater London,Enfield Menon Drive,TW-MEN,,534649,193437,Grab
Greater London,Walthamstow Low Hall,TW-LOW,,535837,187970,Grab
,DAVENTRY   STW,UKENAN_AW_TP000286,,461877,264787,Grab
,LITTLE MARLOW STW,UKENTH_TWU_TP000100,LUTON STW,487709,186961,Grab
Bristol,Downend,WW-DND,,360002,176363,Grab
Greater Manchester,Wigan Roby Mill,UU-WCE,,351898,407530,Grab
Greater Manchester,Wigan Marsh Green,UU-WKL,,355903,406229,Grab
,BARSTON STW,UKENMI_ST_TP000020,BARSTON STW,419399,280281,Grab
Greater London,Regent St,TW-REG,,529289,180715,Grab
Greater London,Hawthorne Cres.,TW-HAW,,539609,178194,Grab
,BARNOLDSWICK STW,UKENNW_UU_TP000011,,387849,448011,Composite
,WELLINGBOROUGH   STW,UKENAN_AW_TP000037,,493847,268578,Grab
Sheffield,"Rother Valley, Birley",YW-RVB,,443269,385575,Grab
,HORDEN AND PETERLEE STW,UKENNE_NU_TP000030,HORDEN AND PETERLEE STW,444099,542631,Composite
Newcastle,Newcastle - Walker,NW-WKR,,429201,563816,Grab
,BARROW-IN-FURNESS STW,UKENNW_UU_TP000012,BARROW IN FURNESS,321942,468543,Composite
Southampton,SOUTHAMPTON WEST (MILLBROOK) STW,UKENSO_SW_TP000001,SOUTHAMPTON WEST (MILLBROOK) STW,438718,112480,Grab
Bristol,Clifton,WW-CLF,,356439,173831,Grab
Greater London,"Costons Lane, Northolt Lane",TW-CLN,,514587,182645,Grab
Sheffield,Shiregreen,YW-NTW,,437301,393305,Grab
,CRAMLINGTON STW,UKENNE_NU_TP000020,,426789,579691,Composite
Newcastle,Newcastle - Benton,NW-BTN,,472324,571629,Grab
Luton,LUTON STW,UKENTH_TWU_TP000103,LITTLE MARLOW   STW,512349,217841,Grab
,"CIRENCESTER, CIRENCESTER, GLOS STW""",UKENTH_TWU_TP000047,,403359,196941,Grab
,MACCLESFIELD STW,UKENNW_UU_TP000084,,389609,378201,Composite
,BASILDON STW,UKENAN_AW_TP000303,,573699,190651,Grab
Leeds,"Manston, Scholes, Whinmoor",YW-MAN,,435742,434052,Grab
,COLCHESTER STW,UKENAN_AW_TP000063,COLCHESTER   STW,602226,223615,Grab
,MELTON MOWBRAY STW,UKENMI_ST_TP000152,,473489,318281,Grab
,FALMOUTH STW,UKENSW_SWS_TP000025,,182302,32206,Composite
Greater London,Makepeace Road,TW-MPR,,512280,183487,Grab
,CANTERBURY STW,UKENSO_SW_TP000033,,616939,159720,Composite
,HILLHOUSE STW,UKENNW_UU_TP000062,,335099,405591,Composite
Birmingham,Vintage Close,ST-BVI,,414290,288334,Grab
,MABLETHORPE STW,UKENAN_AW_TP000172,,549093,382502,Grab
Nottingham,Sherwood,ST-SNC,,457143,342991,Grab
,SPALDING STW,UKENAN_AW_TP000242,,526077,325171,Grab
Greater Manchester,Davyhulme all areas,UU-DSD,,375802,395928,Composite
Birmingham,Fulford Drive,ST-BFU,,414926,292303,Grab
Leeds,"Pudsey, Delph End, Fulneck",YW-PDF,,424594,433632,Grab
,HYTHE STW,UKENSO_SW_TP000027,,615620,133984,Grab
Cornwall G7,Penzance Chyandour,SWS-PNZ,,147630,30683,Grab
Greater London,LONDON (Mogden STW),UKENTH_TWU_TP000113,LONDON (Mogden STW),515409,174721,Composite
Leeds,Harehills South,YW-HAH,,432315,433766,Grab
Greater London,South Vale,TW-SVL,,533200,170574,Grab
,ASHFORD STW,UKENSO_SW_TP000026,,601950,143308,Grab
,NORTH WARRINGTON   STW,UKENNW_UU_TP000124,,358039,386891,Composite
,PLYMOUTH (CAMELS HEAD) STW,UKENSW_SWS_TP000056,,245476,56957,Grab
Greater Manchester,Oldham Mills Hill,UU-OMG,,388858,405708,Unspecified
Newcastle,Newcastle - Lower Ouseburn,NW-LOB,,426993,565154,Grab
,WISBECH WEST WALTON STW,UKENAN_AW_TP000293,,545869,314163,Grab
Greater Manchester,Stockport North,UU-SKN,,389445,390133,Grab
,LONDON (Crawley STW),UKENTH_TWU_TP000050,,528799,140201,Grab
,STOKE ON TRENT (STRONGFORD) STW,UKENMI_ST_TP000207,,387819,339051,Grab
,"BASINGSTOKE, WILDMOOR, BASINGST STW""",UKENTH_TWU_TP000013,"BASINGSTOKE, WILDMOOR, BASINGST STW""",467999,155201,Grab
,ANWICK STW,UKENAN_AW_TP000004,,511489,350004,Grab
Bristol,Whitchurch and Brislington,WW-WCB,,355440,176726,Grab
Leeds,"Killingbeck, Seacroft Hospital",YW-KIL,,434416,434161,Unspecified
,"EAST HASTINGS, BEXHILL   STW""",UKENSO_SW_TP000091,,576559,109381,Composite
Greater London,LONDON (Riverside STW),UKENTH_TWU_TP000125,LONDON (Riverside STW),551499,181901,Composite
Nottingham,Sneinton,ST-SNE,,458852,339909,Grab
Leeds,"Laisterdyke, Delph End, Hillfoot",YW-LDH,,423850,432454,Grab
,"BANBURY, SPITAL FARM, BANBURY, STW""",UKENTH_TWU_TP000012,,446953,240274,Grab
Newcastle,Newcastle -Heaton,NW-HTN,,428246,567131,Grab
Greater London,LONDON (Beddington STW),UKENTH_TWU_TP000015,LONDON (Beddington STW),529519,166319,Grab
Newcastle,Newcastle - Newburn,NW-NBN,,415652,566676,Grab
,STAMFORD STW,UKENAN_AW_TP000248,,507099,306497,Grab
Greater Manchester,Oldham Lowside,UU-OLW,,393953,404244,Grab
Liverpool,Park Street,UU-PST,,335330,388177,Grab
Greater London,"Watkin Road, Wembley Sewer",TW-WRW,,519610,186065,Grab
Bristol,"Emersons Green, Mangotsfield",WW-EGM,,366466,175311,Grab
,GRIMSBY   STW,UKENAN_AW_TP000116,,526212,410959,Grab
Cornwall G7,St Ives Porthgwidden,SWS-ISP,,152064,41008,Grab
Greater London,Slade Green SPS,TW-SLA,,552236,176575,Grab
Newcastle,Newcastle - Ponteland,NW-PTL,,415208,571041,Grab
,STOWMARKET STW,UKENAN_AW_TP000253,,605741,258373,Grab
Sheffield,Swallownest,YW-SWA,,444018,385793,Grab
,HAVERHILL STW,UKENAN_AW_TP000127,,568155,244852,Grab
,DONCASTER (SANDALL) STW,UKENNE_YW_TP000119,,460189,405981,Composite
Teesside,Hartlepool South,NW-HPS,,449584,532961,Grab
Birmingham,Kingsbury Road Birmingham,ST-BKR,,412723,290906,Grab
Leeds,"Carr Place, Little London, Leeds",YW-LLC,,430341,434598,Grab
Greater London,Enfield Maltbury Drive,TW-MAL,,532853,196554,Grab
,WAKEFIELD (CALDER VALE) STW,UKENNE_YW_TP000063,,435069,420411,Composite
,CLEVEDON / NAILSEA / YATTON   STW,UKENSW_WXW_TP000044,,338929,168181,Composite
Greater Manchester,Davyhulme Urmston,UU-DSU,,376609,394676,Composite
Sheffield,"Firth Park, Grimesthorpe",YW-FPG,,437137,390307,Grab
,MARKET HARBOROUGH STW,UKENAN_AW_TP000177,,475882,288865,Grab
Greater London,Enfield Royal Small Arms,TW-RSA,,537251,198502,Grab
,SUDBURY STW,UKENAN_AW_TP000254,,586240,241118,Grab
,GLOUCESTER NetheridgeSTW,UKENMI_ST_TP000099,,380829,216121,Grab
Birmingham,Rabone Lane,ST-BRL,,403254,288970,Grab
